ReviewID,CustomerID,ProductID,ReviewText,ReviewDate,ReviewSentiment,SentimentClass
1,486,267,So impressed by the quality. This product truly delivers.,05/12/2024,1.0,Positive
2,810,246,I'm very happy with the performance. It does exactly what I need.,03/07/2024,0.625,Positive
3,855,291,I regret buying this. The quality is terrible and it stopped working within a week.,15/11/2023,-1.0,Negative
4,524,235,"It serves its purpose, but it's not anything extraordinary.",27/05/2024,0.333333333,Positive
5,238,220,Very high-quality product. I would buy it again without hesitation.,09/10/2023,0.2,Positive
6,578,263,It's neither great nor terrible. It's just okay.,14/04/2024,0.1,Positive
7,181,261,Everything about this product is great! It works as advertised and more.,23/12/2023,0.75,Positive
8,262,215,This is the worst product I've bought in a long time. It doesn't do what it's supposed to.,16/12/2023,-0.525,Negative
9,362,222,I've had nothing but problems with this product. It's not reliable.,21/09/2023,0.0,Neutral
10,563,204,Perfect product for my needs! I can't imagine using anything else now.,20/07/2023,1.0,Positive
11,315,260,I'm extremely disappointed with this product. It doesn't work as promised.,12/10/2023,-0.75,Negative
12,651,276,"The product is awful. It doesn't work as it should, and it's frustrating to use.",10/01/2023,-0.7,Negative
13,863,220,It's an okay option if you're looking for something basic.,23/01/2024,0.25,Positive
14,648,233,"It's functional, but I'm not blown away by it.",28/03/2024,0.0,Neutral
15,682,291,"It's decent, though I expected a little more.",01/12/2024,0.094791667,Positive
16,691,299,"I've used it for a week, and it functions as advertised, but it's not extraordinary.",25/11/2023,-0.166666667,Negative
17,284,245,This is hands down the best purchase I've made this year.,19/08/2023,0.422222222,Positive
18,828,249,I am extremely satisfied with my purchase. Worth every penny!,20/09/2023,0.4375,Positive
19,622,280,I couldn't be more pleased with this purchase. It works perfectly!,27/10/2023,0.666666667,Positive
20,178,201,I've been using it for a while now and it's performing perfectly.,25/01/2024,1.0,Positive
21,506,288,Absolutely love this product! It's a game-changer.,28/03/2024,0.625,Positive
22,197,240,"It's a decent option, but not the best one out there.",15/10/2023,0.583333333,Positive
23,677,258,The product is of poor quality. It doesn't last long and doesn't do what it should.,25/08/2023,-0.15,Negative
24,346,283,The product is exactly what I was hoping for. I'm very satisfied.,27/12/2023,0.45,Positive
25,564,246,Worth every penny! Amazing quality and service.,30/07/2023,0.4875,Positive
26,820,213,"It does the job, but I wasn't impressed by its performance.",14/07/2023,1.0,Positive
27,541,205,"The product works, but I've had better experiences with similar products.",13/03/2024,0.25,Positive
28,153,204,Absolutely love this product! It's a game-changer.,24/10/2023,0.625,Positive
29,982,210,I absolutely love this product! It exceeded my expectations in every way.,15/12/2023,0.625,Positive
30,945,268,This product has made my daily routine so much easier. Highly recommend.,26/01/2024,0.12,Positive
31,386,279,This product is cheaply made and didn't meet my expectations at all.,01/11/2024,0.4,Positive
32,661,261,The product functions as expected but isn't remarkable.,05/11/2024,0.325,Positive
33,396,298,"It's an okay product, but there are some issues I have with it.",12/12/2023,0.5,Positive
34,931,297,This product has saved me so much time and effort. I couldn't be happier.,01/07/2024,0.2,Positive
35,856,229,I couldn't be more pleased with this purchase. It works perfectly!,07/04/2023,0.666666667,Positive
36,464,292,This product does exactly what I wanted it to do. Very pleased.,28/02/2024,0.45,Positive
37,307,264,I'm very pleased with how quickly it arrived and the quality of the product.,26/08/2023,0.491666667,Positive
38,344,240,"It's a decent product, but it doesn't offer the best value for the price.",05/11/2024,0.583333333,Positive
39,367,202,This product does exactly what I wanted it to do. Very pleased.,02/04/2024,0.45,Positive
40,206,264,This has been one of the best purchases I've made. Highly recommended!,05/06/2024,0.6,Positive
41,551,261,This product is a game-changer. I'm so glad I bought it.,24/08/2023,0.5,Positive
42,780,269,I've had nothing but problems with this product. It's not reliable.,19/09/2023,0.0,Neutral
43,251,270,I've never been this satisfied with a purchase before.,21/10/2023,0.5,Positive
44,450,242,"This item is exactly as described, and it works beautifully!",13/03/2024,0.625,Positive
45,251,245,I regret buying this. The quality is terrible and it stopped working within a week.,10/01/2023,-1.0,Negative
46,550,230,Such a fantastic product at a great price. Worth every cent!,12/06/2023,0.39375,Positive
47,235,206,The quality and performance of this product are top-notch.,30/06/2023,1.0,Positive
48,729,219,"I tried using it, but it's just not functional. Very frustrating.",03/01/2024,-0.52,Negative
49,822,204,"It's a basic product. Works, but no wow factor.",27/01/2024,-0.025,Neutral
50,426,279,"It's functional, but I'm not convinced it's the best choice for this price.",24/01/2024,1.0,Positive
51,794,206,I tried it once and it didn't work at all. Wouldn't recommend to anyone.,31/01/2024,0.0,Neutral
52,832,215,The product functions as expected but isn't remarkable.,18/05/2024,0.325,Positive
